attribute,absFrequency,relFrequency
JAMES,3318,0.01659
JOHN,3271,0.016355
ROBERT,3143,0.015715
MARY,2629,0.013145
MICHAEL,2629,0.013145
WILLIAM,2451,0.012255
DAVID,2363,0.011815
RICHARD,1703,0.008515
CHARLES,1523,0.007615
JOSEPH,1404,0.00702
THOMAS,1380,0.0069
PATRICIA,1073,0.005365
LINDA,1035,0.005175
CHRISTOPHER,1035,0.005175
BARBARA,980,0.0049
DANIEL,974,0.00487
PAUL,948,0.00474
MARK,938,0.00469
ELIZABETH,937,0.004685
JENNIFER,932,0.00466
DONALD,931,0.004655
GEORGE,927,0.004635
MARIA,828,0.00414
KENNETH,826,0.00413
SUSAN,794,0.00397
STEVEN,780,0.0039
EDWARD,779,0.003895
MARGARET,768,0.00384
BRIAN,736,0.00368
DOROTHY,727,0.003635
RONALD,725,0.003625
ANTHONY,721,0.003605
LISA,704,0.00352
KEVIN,671,0.003355
NANCY,669,0.003345
KAREN,667,0.003335
BETTY,666,0.00333
HELEN,663,0.003315
JASON,660,0.0033
MATTHEW,657,0.003285
GARY,650,0.00325
TIMOTHY,640,0.0032
SANDRA,629,0.003145
JOSE,613,0.003065
LARRY,598,0.00299
JEFFREY,591,0.002955
DONNA,583,0.002915
FRANK,581,0.002905
CAROL,565,0.002825
RUTH,562,0.00281
SCOTT,546,0.00273
ERIC,544,0.00272
STEPHEN,540,0.0027
ANDREW,537,0.002685
SHARON,522,0.00261
MICHELLE,519,0.002595
LAURA,510,0.00255
SARAH,508,0.00254
KIMBERLY,504,0.00252
DEBORAH,494,0.00247
JESSICA,490,0.00245
RAYMOND,488,0.00244
SHIRLEY,482,0.00241
CYNTHIA,469,0.002345
ANGELA,468,0.00234
MELISSA,462,0.00231
BRENDA,455,0.002275
AMY,451,0.002255
GREGORY,441,0.002205
ANNA,440,0.0022
JOSHUA,435,0.002175
JERRY,432,0.00216
REBECCA,430,0.00215
VIRGINIA,430,0.00215
KATHLEEN,424,0.00212
PAMELA,416,0.00208
DENNIS,415,0.002075
MARTHA,412,0.00206
DEBRA,408,0.00204
AMANDA,404,0.00202
STEPHANIE,400,0.002
WALTER,399,0.001995
PATRICK,389,0.001945
CAROLYN,385,0.001925
CHRISTINE,382,0.00191
PETER,381,0.001905
MARIE,379,0.001895
JANET,379,0.001895
CATHERINE,373,0.001865
HAROLD,371,0.001855
FRANCES,370,0.00185
DOUGLAS,367,0.001835
HENRY,365,0.001825
ANN,364,0.00182
JOYCE,364,0.00182
DIANE,359,0.001795
ALICE,357,0.001785
JULIE,348,0.00174
CARL,346,0.00173
HEATHER,337,0.001685
TERESA,336,0.00168
DORIS,335,0.001675
GLORIA,335,0.001675
ARTHUR,335,0.001675
RYAN,328,0.00164
EVELYN,322,0.00161
ROGER,322,0.00161
JOE,321,0.001605
JUAN,316,0.00158
JEAN,315,0.001575
CHERYL,315,0.001575
JACK,315,0.001575
ALBERT,314,0.00157
MILDRED,313,0.001565
KATHERINE,313,0.001565
JONATHAN,313,0.001565
JUSTIN,311,0.001555
TERRY,311,0.001555
GERALD,309,0.001545
KEITH,308,0.00154
JOAN,306,0.00153
SAMUEL,306,0.00153
ASHLEY,303,0.001515
WILLIE,302,0.00151
JUDITH,297,0.001485
ROSE,296,0.00148
JANICE,285,0.001425
KELLY,283,0.001415
RALPH,282,0.00141
LAWRENCE,282,0.00141
NICOLE,281,0.001405
JUDY,276,0.00138
CHRISTINA,275,0.001375
NICHOLAS,275,0.001375
ROY,273,0.001365
KATHY,272,0.00136
THERESA,271,0.001355
BENJAMIN,270,0.00135
BEVERLY,267,0.001335
DENISE,264,0.00132
BRUCE,263,0.001315
BRANDON,260,0.0013
TAMMY,259,0.001295
ADAM,259,0.001295
