attribute,absFrequency,relFrequency
SMITH,2012,0.01006
JOHNSON,1620,0.0081
WILLIAMS,1398,0.00699
JONES,1242,0.00621
BROWN,1242,0.00621
DAVIS,960,0.0048
MILLER,848,0.00424
WILSON,678,0.00339
MOORE,624,0.00312
TAYLOR,622,0.00311
ANDERSON,622,0.00311
THOMAS,622,0.00311
JACKSON,620,0.0031
WHITE,558,0.00279
HARRIS,550,0.00275
MARTIN,546,0.00273
THOMPSON,538,0.00269
GARCIA,508,0.00254
MARTINEZ,468,0.00234
ROBINSON,466,0.00233
CLARK,462,0.00231
RODRIGUEZ,458,0.00229
LEWIS,452,0.00226
LEE,440,0.0022
WALKER,438,0.00219
HALL,400,0.002
ALLEN,398,0.00199
YOUNG,386,0.00193
HERNANDEZ,384,0.00192
KING,380,0.0019
WRIGHT,378,0.00189
LOPEZ,374,0.00187
HILL,374,0.00187
SCOTT,370,0.00185
GREEN,366,0.00183
ADAMS,348,0.00174
BAKER,342,0.00171
GONZALEZ,332,0.00166
NELSON,324,0.00162
CARTER,324,0.00162
MITCHELL,320,0.0016
PEREZ,310,0.00155
ROBERTS,306,0.00153
TURNER,304,0.00152
PHILLIPS,298,0.00149
CAMPBELL,298,0.00149
PARKER,292,0.00146
EVANS,282,0.00141
EDWARDS,274,0.00137
COLLINS,268,0.00134
STEWART,266,0.00133
SANCHEZ,260,0.0013
MORRIS,250,0.00125
ROGERS,246,0.00123
REED,244,0.00122
COOK,240,0.0012
MORGAN,236,0.00118
BELL,234,0.00117
MURPHY,234,0.00117
BAILEY,230,0.00115
RIVERA,226,0.00113
COOPER,226,0.00113
RICHARDSON,224,0.00112
COX,220,0.0011
HOWARD,220,0.0011
WARD,216,0.00108
TORRES,216,0.00108
PETERSON,214,0.00107
GRAY,212,0.00106
RAMIREZ,210,0.00105
JAMES,210,0.00105
WATSON,206,0.00103
BROOKS,206,0.00103
KELLY,204,0.00102
SANDERS,200,0.001
PRICE,198,0.00099
BENNETT,198,0.00099
WOOD,196,0.00098
BARNES,194,0.00097
ROSS,192,0.00096
HENDERSON,190,0.00095
COLEMAN,190,0.00095
JENKINS,190,0.00095
PERRY,188,0.00094
POWELL,186,0.00093
LONG,184,0.00092
PATTERSON,184,0.00092
HUGHES,184,0.00092
FLORES,184,0.00092
WASHINGTON,184,0.00092
BUTLER,182,0.00091
SIMMONS,182,0.00091
FOSTER,182,0.00091
GONZALES,174,0.00087
BRYANT,174,0.00087
ALEXANDER,170,0.00085
RUSSELL,170,0.00085
GRIFFIN,168,0.00084
DIAZ,168,0.00084
HAYES,166,0.00083
MYERS,166,0.00083
FORD,164,0.00082
HAMILTON,164,0.00082
GRAHAM,164,0.00082
SULLIVAN,162,0.00081
WALLACE,162,0.00081
WOODS,160,0.0008
COLE,160,0.0008
WEST,160,0.0008
JORDAN,156,0.00078
